"table s42b: prevalence of domestic abuse, sexual assault and stalking in the last year among women aged 16 to 59, by type [note 2, 3, 7]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,age_band
- Rape including attempts,0.9379144927406042,1.3963242083901366,1.1922872507351348,1.1982172560030064,0.9481957046471805,1.0164180342016675,1.2898731505145682,1.2023958884264192,0.7659647512194774,0.5015184488413376,0.5170105228960084,0.4455024270933791,0.6512825940306466,0.6635875188130008,0.708973604822044,0.7577385752406678,0.7891724238969247,0.645176668804501,,unknown
- Rape excluding attempts,0.6952779761403735,1.0872090499730789,1.0136519540892075,0.7744851066923863,0.8169751313154571,0.842032744814099,1.1108235548519843,0.8980961287053683,0.44706868329650357,0.3014430623914955,0.3187029627588546,0.3209050794403466,0.383305451191603,0.43050431213335566,0.25791128345155034,0.5161480018584998,0.49217415840427514,0.45643356992234,,unknown
- Assault by penetration including attempts,0.32675120996992946,0.3955812407897313,0.31649241839347114,0.35911882659963984,0.3471281597647793,0.18244141387373364,0.2689315582457019,0.45025162505164396,0.5280029351236808,0.4850523835805176,0.3569793444349411,0.49664228086122214,0.5381653824112316,0.5221061935654099,0.6701784972361589,0.5602370600424199,0.8187819445895768,0.845097527837365,,unknown
- Assault by penetration excluding attempts,0.2957653520892778,0.4698932975726402,0.3251209434312258,0.36834829625925525,0.26614431932377763,0.22602804967040122,0.2594324372241647,0.3096034493231961,0.32469787662325533,0.288094333332557,0.16938565099483135,0.22760552097003503,0.31427759118484927,0.4003981140977052,0.2846444803942847,0.39722819564642503,0.40071156119662465,0.328106386577582,,unknown
Causing sexual activity without consent [note 14][note 15],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.006515283008609887,0.05830737104083339,0.018202190532408045,0,[x],[x],[x],,unknown
Indecent exposure or unwanted sexual touching,3.431964537862358,3.8888497784729434,3.9678185619389694,3.542807610868581,2.9796500560357337,2.750517656315929,2.9241257833519048,3.3450652048261045,2.3453355670110603,1.813297347583786,2.3701036303484897,2.8245726902570256,2.673493973298345,3.836737919901081,3.7979494275361247,3.0503256964849847,3.2598062591952885,3.83650824336755,,unknown
- Indecent exposure,[x],[x],[x],[x],[x],[x],[x],[x],1.0741230156293007,0.5749926038879533,0.8303207849889144,0.9327731546553295,0.5657677078519877,1.219259415492662,0.9370295751589753,0.6142263166439318,0.7960381038599382,1.05201280360325,[s],unknown
- Unwanted sexual touching,[x],[x],[x],[x],[x],[x],[x],[x],1.3916534515099273,1.345233983796752,1.7565466975240522,2.1854826381032484,2.2515610088475575,3.1992009763684846,3.270008764329283,2.6936232409380705,2.8731913182671605,3.13591356986774,,unknown
Any sexual assault (including attempts) by a partner,0.48282488866132744,0.6255429337042192,0.5487955653666694,0.5107272828684367,0.36394489247892586,0.39801996343907514,0.5624311617348018,0.5303549414807953,0.4338800523292938,0.35827754347373436,0.4719631680398239,0.4994100733694562,0.4231242755473736,0.3623950509756584,0.7156394256004414,0.6671520201276346,0.883681148012076,0.552944534163325,,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.2634375632684015,0.27808086248169583,0.31030737217729853,0.25377713904301535,0.22383183969436657,0.20732881337346912,0.39597791623640044,0.34426727980975264,0.3204584650171746,0.24131770299736427,0.26632054598458677,0.2974140031947678,0.2957512443525279,0.22442263311715663,0.3071479617474434,0.4479706950289823,0.3442019242168723,0.318012130055336,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.46362972974257516,0.6214529325641317,0.5411480589081344,0.48859941936082596,0.26864573515890555,0.4400372725020354,0.44570616671011865,0.402680877040676,0.24148147274783585,0.21332649351962144,0.3339368703317226,0.37816581310021297,0.2566273183447821,0.2594601655545305,0.518446833404983,0.41860058918120546,0.7439571480412726,0.435524215105456,,unknown
- Indecent exposure by a partner [note 16],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.05885785490431566,0.06355096698156319,0.03366590170257642,[c],[c],,unknown
- Unwanted sexual touching by a partner [note 16],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.2580936632527475,0.5074763183658726,0.3945236614906974,0.747298271548413,0.433442714478174,,unknown
Any sexual assault (including attempts) by a family member,0.1286138982885387,0.09293593502128027,0.11086351190906826,0.12960490041298056,0.06406620666643999,0.09951148387779418,0.1539025796736463,0.08490057967611203,0.08061428310204953,0.0727089480579746,0.055700827718932706,0.03627569634841888,0.04358957908189831,0.1342386449213812,0.0941867291999993,0.06804344733870903,[c],0.071282811827281,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.02746083380841105,0.02346983732037563,0.03167109015615969,0.0067165666342055685,0,0.0257586646006817,0.05827505509182064,0.03157358848261452,0.05259287578090477,0.035810621685541125,0.016698836856079993,0.013400823325689962,0.019466673492425087,0.08722381032281994,0.06162007264973488,0.015283102874588901,[c],[c],,unknown
Indecent exposure or unwanted sexual touching by a family member,0.05228597228779967,0.04363256290130421,0.061291704940877656,0.07816050868880801,0.0386940622261531,0.034329551393181244,0.08606835713295152,0.01949536762219052,0.027656401688920074,0.03924089058928313,0.038783596238294325,0.022669392661447307,0.023910956631604235,0.06070975395049039,0.07661645049967884,0.06278076122875244,[c],0.0536990953299098,,unknown
- Indecent exposure by a family member [note 16],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.03786219796387601,0.009578518065870466,0.03043230164609253,[c],[c],,unknown
- Unwanted sexual touching by a family member [note 16],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0.037601589535883044,0.07745861914161553,0.03277884352958191,[c],0.0399842998660653,,unknown
Stalking [note 13],7.529072034185495,7.4229108372776205,6.782528438368766,[x],4.727775004095152,4.7769699872251286,4.574586750634098,4.806810856694489,4.706262488959113,4.422371835051212,4.890959047630737,4.599852603507714,4.90826980606815,5.441001571806443,5.2449637759016055,5.369872176084217,6.221146058675149,5.67066063010175,,unknown
Stalking by a partner,1.1804055592919838,1.4255795917877676,1.3627513533462998,[x],1.0378400441767994,1.0693103843225473,1.2691460193565305,1.0941469207189733,1.144135191856587,1.5857925160993764,1.5551206345972843,1.2848466556626308,1.32279797910538,1.4007702136740203,1.5868831784630997,1.1740059023474239,1.1615189625162081,0.774220548168403,[s],unknown
Stalking by a family member,0.46195903175329955,0.6630794160738592,0.46300156188971264,[x],0.43448476771642147,0.4595620125199489,0.5320464899704966,0.7685388231703523,0.6856950657341614,0.4860842630154533,0.5440069755339062,0.49795775077031185,0.4519342971360979,0.6290287851948808,0.48634569546403206,0.5322360859005457,0.44417148588392047,0.54822227356145,,unknown
Unweighted base - number of people aged 16 and over [note 17],12400,13282,12754,12991,13786,11734,5929,5830,5184,11178,10363,10819,11083,5399,5420,9879,1639,5477,,unknown
